,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.0,107.31062828176366,0.0,1.0,-210.3249665906221,210.3249665906221
Id,0.0,0.00015491927805978123,0.0,1.0,-0.0003036362055081174,0.0003036362055081174
MSSubClass,0.0,0.008466456956769848,0.0,1.0,-0.016593950711927492,0.016593950711927492
LotFrontage,0.0,0.004305858495994048,0.0,1.0,-0.008439327574674138,0.008439327574674138
LotArea,0.0,1.0963059712754848e-05,0.0,1.0,-2.148720219736153e-05,2.148720219736153e-05
OverallQual,0.0,0.10285018862196,0.0,1.0,-0.20158266550219286,0.20158266550219286
OverallCond,0.0,0.08799971606845547,0.0,1.0,-0.1724762741439234,0.1724762741439234
YearBuilt,0.0,0.007813445397591727,0.0,1.0,-0.01531407157445003,0.01531407157445003
YearRemodAdd,0.0,0.005734388389017403,0.0,1.0,-0.011239194715838771,0.011239194715838771
MasVnrArea,0.0,0.0005621592946411869,0.0,1.0,-0.001101811971071167,0.001101811971071167
BsmtFinSF2,0.0,0.0008096139698440287,0.0,1.0,-0.0015868142222747936,0.0015868142222747936
BsmtUnfSF,0.0,0.00031874942231396744,0.0,1.0,-0.000624737387828324,0.000624737387828324
TotalBsmtSF,0.0,0.0004759587013828134,0.0,1.0,-0.0009328619128387687,0.0009328619128387687
2ndFlrSF,0.0,0.0006807273955803341,0.0,1.0,-0.0013342011786272052,0.0013342011786272052
LowQualFinSF,0.0,0.0018837688862877952,0.0,1.0,-0.003692119172321207,0.003692119172321207
GrLivArea,0.0,0.0005519770384693651,0.0,1.0,-0.0010818551156930355,0.0010818551156930355
BsmtFullBath,0.0,0.20560650479847734,0.0,1.0,-0.40298134439217737,0.40298134439217737
BsmtHalfBath,0.0,0.30476389532605247,0.0,1.0,-0.5973262586271978,0.5973262586271978
FullBath,0.0,0.22645619387108246,0.0,1.0,-0.44384598406334175,0.44384598406334175
HalfBath,0.0,0.20950945007854493,0.0,1.0,-0.41063097657474046,0.41063097657474046
BedroomAbvGr,0.0,0.14014271455405672,0.0,1.0,-0.2746746732216284,0.2746746732216284
KitchenAbvGr,0.0,0.6210939225081212,0.0,1.0,-1.2173217191326289,1.2173217191326289
TotRmsAbvGrd,0.0,0.09528863034038883,0.0,1.0,-0.18676228360331276,0.18676228360331276
Fireplaces,0.0,0.2220395008744946,0.0,1.0,-0.4351894248592592,0.4351894248592592
